"Election_Date","Election_Type","Parliament","Constituency","Province_Territory","Combined_Key","Number_of_Candidates","Number_of_Parties","District_Magnitude","Valid_Votes"
1867-08-07,"General","1","Halifax","Nova Scotia","Halifax, Nova Scotia",4,3,2,9060
1867-08-07,"General","1","Halton","Ontario","Halton, Ontario",2,2,1,2711
1867-08-07,"General","1","Hamilton","Ontario","Hamilton, Ontario",1,1,1,0
1867-08-07,"General","1","Hants","Nova Scotia","Hants, Nova Scotia",2,2,1,2486
1867-08-07,"General","1","Hastings East","Ontario","Hastings East, Ontario",2,2,1,1567
1867-08-07,"General","1","Hastings North","Ontario","Hastings North, Ontario",3,2,1,1565
1867-08-07,"General","1","Hastings West","Ontario","Hastings West, Ontario",2,2,1,1086
1867-08-07,"General","1","Hochelaga","Quebec","Hochelaga, Quebec",2,2,1,2601
1867-08-07,"General","1","Huntingdon","Quebec","Huntingdon, Quebec",2,2,1,1748
1867-08-07,"General","1","Huron North","Ontario","Huron North, Ontario",3,2,1,3933
1867-08-07,"General","1","Huron South","Ontario","Huron South, Ontario",3,2,1,3078
1867-08-07,"General","1","Iberville","Quebec","Iberville, Quebec",2,2,1,1539
1867-08-07,"General","1","Inverness","Nova Scotia","Inverness, Nova Scotia",2,2,1,1787
1867-08-07,"General","1","Jacques Cartier","Quebec","Jacques Cartier, Quebec",2,2,1,1201
1867-08-07,"General","1","Joliette","Quebec","Joliette, Quebec",2,2,1,1780
1867-08-07,"General","1","Kent","Ontario","Kent, Ontario",2,2,1,2951
1867-08-07,"General","1","Kent","New Brunswick","Kent, New Brunswick",4,2,1,2122
1867-08-07,"General","1","King's","New Brunswick","King's, New Brunswick",2,2,1,2386
1867-08-07,"General","1","Kings","Nova Scotia","Kings, Nova Scotia",2,2,1,2131
1867-08-07,"General","1","Kingston","Ontario","Kingston, Ontario",2,2,1,877
1867-08-07,"General","1","L'Assomption","Quebec","L'Assomption, Quebec",2,2,1,1563
1867-08-07,"General","1","L'Islet","Quebec","L'Islet, Quebec",2,2,1,504
1867-08-07,"General","1","Lambton","Ontario","Lambton, Ontario",2,2,1,3310
1867-08-07,"General","1","Lanark North","Ontario","Lanark North, Ontario",1,1,1,0
1867-08-07,"General","1","Lanark South","Ontario","Lanark South, Ontario",1,1,1,0
1867-08-07,"General","1","Laprairie","Quebec","Laprairie, Quebec",2,2,1,1043
1867-08-07,"General","1","Laval","Quebec","Laval, Quebec",1,1,1,0
1867-08-07,"General","1","Leeds North and Grenville North","Ontario","Leeds North and Grenville North, Ontario",2,2,1,1780
1867-08-07,"General","1","Leeds South","Ontario","Leeds South, Ontario",2,2,1,2757
1867-08-07,"General","1","Lennox","Ontario","Lennox, Ontario",2,2,1,2390
1867-08-07,"General","1","Lévis","Quebec","Lévis, Quebec",1,1,1,0
1867-08-07,"General","1","Lincoln","Ontario","Lincoln, Ontario",1,1,1,0
1867-08-07,"General","1","London","Ontario","London, Ontario",2,2,1,1380
1867-08-07,"General","1","Lotbinière","Quebec","Lotbinière, Quebec",1,1,1,0
1867-08-07,"General","1","Lunenburg","Nova Scotia","Lunenburg, Nova Scotia",2,2,1,2462
1867-08-07,"General","1","Maskinongé","Quebec","Maskinongé, Quebec",2,2,1,1266
1867-08-07,"General","1","Mégantic","Quebec","Mégantic, Quebec",2,2,1,1733
1867-08-07,"General","1","Middlesex East","Ontario","Middlesex East, Ontario",2,2,1,3652
1867-08-07,"General","1","Middlesex North","Ontario","Middlesex North, Ontario",2,2,1,2479
1867-08-07,"General","1","Middlesex West","Ontario","Middlesex West, Ontario",2,2,1,2107
1867-08-07,"General","1","Missisquoi","Quebec","Missisquoi, Quebec",2,2,1,1687
1867-08-07,"General","1","Monck","Ontario","Monck, Ontario",2,2,1,1997
1867-08-07,"General","1","Montcalm","Quebec","Montcalm, Quebec",1,1,1,0
1867-08-07,"General","1","Montmagny","Quebec","Montmagny, Quebec",1,1,1,0
1867-08-07,"General","1","Montmorency","Quebec","Montmorency, Quebec",1,1,1,0
1867-08-07,"General","1","Montreal Centre","Quebec","Montreal Centre, Quebec",1,1,1,0
1867-08-07,"General","1","Montreal East","Quebec","Montreal East, Quebec",2,2,1,4516
1867-08-07,"General","1","Montreal West","Quebec","Montreal West, Quebec",2,2,1,5153
1867-08-07,"General","1","Napierville","Quebec","Napierville, Quebec",2,2,1,1222
1867-08-07,"General","1","Niagara","Ontario","Niagara, Ontario",2,2,1,550
1867-08-07,"General","1","Nicolet","Quebec","Nicolet, Quebec",2,2,1,1569
1867-08-07,"General","1","Norfolk North","Ontario","Norfolk North, Ontario",2,2,1,2016
1867-08-07,"General","1","Norfolk South","Ontario","Norfolk South, Ontario",2,2,1,2019
1867-08-07,"General","1","Northumberland","New Brunswick","Northumberland, New Brunswick",2,2,1,1983
1867-08-07,"General","1","Northumberland East","Ontario","Northumberland East, Ontario",2,2,1,2434
1867-08-07,"General","1","Northumberland West","Ontario","Northumberland West, Ontario",1,1,1,0
1867-08-07,"General","1","Ontario North","Ontario","Ontario North, Ontario",2,1,1,2990
1867-08-07,"General","1","Ontario South","Ontario","Ontario South, Ontario",2,2,1,2515
1867-08-07,"General","1","Ottawa (City of)","Ontario","Ottawa (City of), Ontario",2,2,1,979
1867-08-07,"General","1","Ottawa (County of)","Quebec","Ottawa (County of), Quebec",1,1,1,0
1867-08-07,"General","1","Oxford North","Ontario","Oxford North, Ontario",1,1,1,0
1867-08-07,"General","1","Oxford South","Ontario","Oxford South, Ontario",1,1,1,0
1867-08-07,"General","1","Peel","Ontario","Peel, Ontario",2,2,1,2214
1867-08-07,"General","1","Perth North","Ontario","Perth North, Ontario",2,2,1,2822
1867-08-07,"General","1","Perth South","Ontario","Perth South, Ontario",2,2,1,2883
1867-08-07,"General","1","Peterborough East","Ontario","Peterborough East, Ontario",2,2,1,1600
1867-08-07,"General","1","Peterborough West","Ontario","Peterborough West, Ontario",2,2,1,1333
1867-08-07,"General","1","Pictou","Nova Scotia","Pictou, Nova Scotia",2,2,1,3664
1867-08-07,"General","1","Pontiac","Quebec","Pontiac, Quebec",1,1,1,0
1867-08-07,"General","1","Portneuf","Quebec","Portneuf, Quebec",3,2,1,1746
1867-08-07,"General","1","Prescott","Ontario","Prescott, Ontario",2,2,1,1335
1867-08-07,"General","1","Prince Edward","Ontario","Prince Edward, Ontario",2,2,1,2721
1867-08-07,"General","1","Quebec-Centre","Quebec","Quebec-Centre, Quebec",3,2,1,1298
1867-08-07,"General","1","Quebec County","Quebec","Quebec County, Quebec",1,1,1,0
1867-08-07,"General","1","Quebec East","Quebec","Quebec East, Quebec",1,1,1,0
1867-08-07,"General","1","Quebec West","Quebec","Quebec West, Quebec",1,1,1,0
1867-08-07,"General","1","Queen's","New Brunswick","Queen's, New Brunswick",1,1,1,0
1867-08-07,"General","1","Queens","Nova Scotia","Queens, Nova Scotia",2,2,1,1115
1867-08-07,"General","1","Renfrew North","Ontario","Renfrew North, Ontario",2,2,1,1140
1867-08-07,"General","1","Renfrew South","Ontario","Renfrew South, Ontario",1,1,1,0
1867-08-07,"General","1","Restigouche","New Brunswick","Restigouche, New Brunswick",2,2,1,629
1867-08-07,"General","1","Richelieu","Quebec","Richelieu, Quebec",3,2,1,1852
1867-08-07,"General","1","Richmond","Nova Scotia","Richmond, Nova Scotia",2,2,1,824
1867-08-07,"General","1","Richmond--Wolfe","Quebec","Richmond--Wolfe, Quebec",2,2,1,2040
1867-08-07,"General","1","Rimouski","Quebec","Rimouski, Quebec",2,2,1,1849
1867-08-07,"General","1","Rouville","Quebec","Rouville, Quebec",2,2,1,2060
1867-08-07,"General","1","Russell","Ontario","Russell, Ontario",2,2,1,1988
1867-08-07,"General","1","Saint Maurice","Quebec","Saint Maurice, Quebec",1,1,1,0
1867-08-07,"General","1","Shefford","Quebec","Shefford, Quebec",2,2,1,2308
1867-08-07,"General","1","Shelburne","Nova Scotia","Shelburne, Nova Scotia",1,1,1,0
1867-08-07,"General","1","Sherbrooke (Town of)","Quebec","Sherbrooke (Town of), Quebec",1,1,1,0
1867-08-07,"General","1","Simcoe North","Ontario","Simcoe North, Ontario",1,1,1,0
1867-08-07,"General","1","Simcoe South","Ontario","Simcoe South, Ontario",2,2,1,2466
1867-08-07,"General","1","Soulanges","Quebec","Soulanges, Quebec",2,2,1,1199
1867-08-07,"General","1","St. Hyacinthe","Quebec","St. Hyacinthe, Quebec",2,2,1,2036
1867-08-07,"General","1","St. John's","Quebec","St. John's, Quebec",2,2,1,1296
1867-08-07,"General","1","St. John (City and County of)","New Brunswick","St. John (City and County of), New Brunswick",1,1,1,0
1867-08-07,"General","1","St. John (City of )","New Brunswick","St. John (City of ), New Brunswick",2,2,1,2012
1867-08-07,"General","1","Stanstead","Quebec","Stanstead, Quebec",2,2,1,1430
1867-08-07,"General","1","Stormont","Ontario","Stormont, Ontario",2,2,1,1318
1867-08-07,"General","1","Sunbury","New Brunswick","Sunbury, New Brunswick",2,2,1,1089
1867-08-07,"General","1","Témiscouata","Quebec","Témiscouata, Quebec",1,1,1,0
1867-08-07,"General","1","Terrebonne","Quebec","Terrebonne, Quebec",1,1,1,0
1867-08-07,"General","1","Three Rivers","Quebec","Three Rivers, Quebec",2,2,1,420
1867-08-07,"General","1","Toronto East","Ontario","Toronto East, Ontario",3,2,1,2094
1867-08-07,"General","1","Toronto West","Ontario","Toronto West, Ontario",2,2,1,2525
1867-08-07,"General","1","Two Mountains","Quebec","Two Mountains, Quebec",1,1,1,0
1867-08-07,"General","1","Vaudreuil","Quebec","Vaudreuil, Quebec",1,1,1,0
1867-08-07,"General","1","Verchères","Quebec","Verchères, Quebec",2,2,1,1571
1867-08-07,"General","1","Victoria","New Brunswick","Victoria, New Brunswick",3,2,1,1343
1867-08-07,"General","1","Victoria","Nova Scotia","Victoria, Nova Scotia",1,1,1,0
1867-08-07,"General","1","Victoria North","Ontario","Victoria North, Ontario",2,2,1,1090
1867-08-07,"General","1","Victoria South","Ontario","Victoria South, Ontario",2,2,1,1802
1867-08-07,"General","1","Waterloo North","Ontario","Waterloo North, Ontario",1,1,1,0
1867-08-07,"General","1","Waterloo South","Ontario","Waterloo South, Ontario",2,2,1,2282
1867-08-07,"General","1","Welland","Ontario","Welland, Ontario",1,1,1,0
1867-08-07,"General","1","Wellington Centre","Ontario","Wellington Centre, Ontario",1,1,1,0
1867-08-07,"General","1","Wellington North","Ontario","Wellington North, Ontario",2,2,1,2764
1867-08-07,"General","1","Wellington South","Ontario","Wellington South, Ontario",2,2,1,1615
1867-08-07,"General","1","Wentworth North","Ontario","Wentworth North, Ontario",2,2,1,2247
1867-08-07,"General","1","Wentworth South","Ontario","Wentworth South, Ontario",2,2,1,2003
1867-08-07,"General","1","Westmorland","New Brunswick","Westmorland, New Brunswick",2,2,1,2661
1867-08-07,"General","1","Yamaska","Quebec","Yamaska, Quebec",2,2,1,1557
1867-08-07,"General","1","Yarmouth","Nova Scotia","Yarmouth, Nova Scotia",2,2,1,1891
1867-08-07,"General","1","York","New Brunswick","York, New Brunswick",1,1,1,0
1867-08-07,"General","1","York East","Ontario","York East, Ontario",2,2,1,2111
1867-08-07,"General","1","York North","Ontario","York North, Ontario",1,1,1,0
1867-08-07,"General","1","York West","Ontario","York West, Ontario",2,2,1,1107
1867-11-28,"By-Election","1","Huntingdon","Quebec","Huntingdon, Quebec",1,1,1,0
1867-12-11,"By-Election","1","Montmorency","Quebec","Montmorency, Quebec",2,2,1,769
1868-03-13,"By-Election","1","Restigouche","New Brunswick","Restigouche, New Brunswick",2,2,1,659
1868-04-13,"By-Election","1","Lincoln","Ontario","Lincoln, Ontario",2,2,1,840
1868-04-20,"By-Election","1","Montreal West","Quebec","Montreal West, Quebec",1,1,1,0
1868-08-14,"By-Election","1","York West","Ontario","York West, Ontario",2,2,1,903
1868-10-17,"By-Election","1","Three Rivers","Quebec","Three Rivers, Quebec",1,1,1,0
1868-10-28,"By-Election","1","York","New Brunswick","York, New Brunswick",1,1,1,0
1868-10-30,"By-Election","1","Saint Maurice","Quebec","Saint Maurice, Quebec",2,2,1,1098
1868-12-24,"By-Election","1","Northumberland","New Brunswick","Northumberland, New Brunswick",2,2,1,2027
1869-01-18,"By-Election","1","Wellington Centre","Ontario","Wellington Centre, Ontario",1,1,1,0
1869-02-17,"By-Election","1","Kamouraska","Quebec","Kamouraska, Quebec",2,2,1,2254
1869-04-20,"By-Election","1","Richmond","Nova Scotia","Richmond, Nova Scotia",2,2,1,893
1869-04-20,"By-Election","1","Yarmouth","Nova Scotia","Yarmouth, Nova Scotia",2,2,1,1818
1869-04-24,"By-Election","1","Hants","Nova Scotia","Hants, Nova Scotia",2,2,1,2641
1869-07-12,"By-Election","1","Renfrew South","Ontario","Renfrew South, Ontario",2,1,1,746
1869-07-14,"By-Election","1","L'Islet","Quebec","L'Islet, Quebec",2,2,1,1157
1869-09-09,"By-Election","1","Colchester","Nova Scotia","Colchester, Nova Scotia",2,2,1,2815
1869-10-30,"By-Election","1","Huntingdon","Quebec","Huntingdon, Quebec",1,1,1,0
1869-11-13,"By-Election","1","Renfrew North","Ontario","Renfrew North, Ontario",2,2,1,1000
1869-11-29,"By-Election","1","Brome","Quebec","Brome, Quebec",1,1,1,0
1869-11-29,"By-Election","1","Lanark South","Ontario","Lanark South, Ontario",1,1,1,0
1870-04-27,"By-Election","1","Frontenac","Ontario","Frontenac, Ontario",2,2,1,1386
1870-06-15,"By-Election","1","Cumberland","Nova Scotia","Cumberland, Nova Scotia",1,1,1,0
1870-06-23,"By-Election","1","Kings","Nova Scotia","Kings, Nova Scotia",1,1,1,0
1870-07-05,"By-Election","1","Missisquoi","Quebec","Missisquoi, Quebec",2,2,1,1898
1870-07-18,"By-Election","1","Quebec East","Quebec","Quebec East, Quebec",2,2,1,2007
1870-08-15,"By-Election","1","Bellechasse","Quebec","Bellechasse, Quebec",1,1,1,0
1870-09-01,"By-Election","1","St. Hyacinthe","Quebec","St. Hyacinthe, Quebec",1,1,1,0
1870-11-08,"By-Election","1","Colchester","Nova Scotia","Colchester, Nova Scotia",2,2,1,1940
1870-11-18,"By-Election","1","Richelieu","Quebec","Richelieu, Quebec",2,2,1,2043
1870-11-29,"By-Election","1","Restigouche","New Brunswick","Restigouche, New Brunswick",2,2,1,644
1871-03-02,"By-Election","1","Lisgar","Manitoba","Lisgar, Manitoba",2,2,1,380
1871-03-02,"By-Election","1","Marquette","Manitoba","Marquette, Manitoba",2,2,2,564
1871-03-02,"By-Election","1","Selkirk","Manitoba","Selkirk, Manitoba",2,2,1,342
1871-03-03,"By-Election","1","Provencher","Manitoba","Provencher, Manitoba",2,2,1,201
1871-03-20,"By-Election","1","Hastings East","Ontario","Hastings East, Ontario",1,1,1,0
1871-06-30,"By-Election","1","Algoma","Ontario","Algoma, Ontario",1,1,1,0
1871-09-15,"By-Election","1","Montcalm","Quebec","Montcalm, Quebec",1,1,1,0
1871-11-11,"By-Election","1","Compton","Quebec","Compton, Quebec",1,1,1,0
1871-11-17,"By-Election","1","Brome","Quebec","Brome, Quebec",1,1,1,0
1871-11-24,"By-Election","1","Victoria District","British Columbia","Victoria District, British Columbia",2,1,2,0
1871-12-13,"By-Election","1","New Westminster District","British Columbia","New Westminster District, British Columbia",2,2,1,149
1871-12-15,"By-Election","1","Vancouver Island","British Columbia","Vancouver Island, British Columbia",2,2,1,239
1871-12-19,"By-Election","1","Cariboo District","British Columbia","Cariboo District, British Columbia",1,1,1,0
1871-12-19,"By-Election","1","Yale District","British Columbia","Yale District, British Columbia",1,1,1,0
1872-07-20,"General","2","Addington","Ontario","Addington, Ontario",2,2,1,2344
1872-07-20,"General","2","Albert","New Brunswick","Albert, New Brunswick",2,2,1,1595
1872-07-20,"General","2","Algoma","Ontario","Algoma, Ontario",2,2,1,519
1872-07-20,"General","2","Annapolis","Nova Scotia","Annapolis, Nova Scotia",2,2,1,2148
1872-07-20,"General","2","Antigonish","Nova Scotia","Antigonish, Nova Scotia",1,1,1,0
1872-07-20,"General","2","Argenteuil","Quebec","Argenteuil, Quebec",1,1,1,0
1872-07-20,"General","2","Bagot","Quebec","Bagot, Quebec",2,2,1,1188
1872-07-20,"General","2","Beauce","Quebec","Beauce, Quebec",2,2,1,2657
1872-07-20,"General","2","Beauharnois","Quebec","Beauharnois, Quebec",2,2,1,1618
1872-07-20,"General","2","Bellechasse","Quebec","Bellechasse, Quebec",2,2,1,1857
1872-07-20,"General","2","Berthier","Quebec","Berthier, Quebec",2,2,1,772
1872-07-20,"General","2","Bonaventure","Quebec","Bonaventure, Quebec",3,2,1,1233
1872-07-20,"General","2","Bothwell","Ontario","Bothwell, Ontario",2,2,1,2862
1872-07-20,"General","2","Brant North","Ontario","Brant North, Ontario",2,2,1,1453
1872-07-20,"General","2","Brant South","Ontario","Brant South, Ontario",2,2,1,2494
1872-07-20,"General","2","Brockville","Ontario","Brockville, Ontario",2,2,1,1597
1872-07-20,"General","2","Brome","Quebec","Brome, Quebec",2,2,1,1639
1872-07-20,"General","2","Bruce North","Ontario","Bruce North, Ontario",2,2,1,1925
1872-07-20,"General","2","Bruce South","Ontario","Bruce South, Ontario",2,2,1,2068
1872-07-20,"General","2","Cape Breton","Nova Scotia","Cape Breton, Nova Scotia",4,2,2,4092
1872-07-20,"General","2","Cardwell","Ontario","Cardwell, Ontario",2,2,1,2248
1872-07-20,"General","2","Cariboo","British Columbia","Cariboo, British Columbia",1,1,1,0
1872-07-20,"General","2","Carleton","Ontario","Carleton, Ontario",4,2,1,1933
1872-07-20,"General","2","Carleton","New Brunswick","Carleton, New Brunswick",1,1,1,0
1872-07-20,"General","2","Chambly","Quebec","Chambly, Quebec",2,2,1,1420
1872-07-20,"General","2","Champlain","Quebec","Champlain, Quebec",2,2,1,2576
1872-07-20,"General","2","Charlevoix","Quebec","Charlevoix, Quebec",2,2,1,2264
1872-07-20,"General","2","Charlotte","New Brunswick","Charlotte, New Brunswick",2,2,1,2880
1872-07-20,"General","2","Châteauguay","Quebec","Châteauguay, Quebec",2,2,1,1576
1872-07-20,"General","2","Chicoutimi--Saguenay","Quebec","Chicoutimi--Saguenay, Quebec",2,2,1,1842
1872-07-20,"General","2","Colchester","Nova Scotia","Colchester, Nova Scotia",2,2,1,2843
1872-07-20,"General","2","Compton","Quebec","Compton, Quebec",1,1,1,0
1872-07-20,"General","2","Cornwall","Ontario","Cornwall, Ontario",1,1,1,0
1872-07-20,"General","2","Cumberland","Nova Scotia","Cumberland, Nova Scotia",2,2,1,2561
1872-07-20,"General","2","Digby","Nova Scotia","Digby, Nova Scotia",1,1,1,0
1872-07-20,"General","2","Dorchester","Quebec","Dorchester, Quebec",2,2,1,1768
1872-07-20,"General","2","Drummond--Arthabaska","Quebec","Drummond--Arthabaska, Quebec",3,2,1,2543
1872-07-20,"General","2","Dundas","Ontario","Dundas, Ontario",2,2,1,2612
1872-07-20,"General","2","Durham East","Ontario","Durham East, Ontario",2,2,1,2474
1872-07-20,"General","2","Durham West","Ontario","Durham West, Ontario",1,1,1,0
1872-07-20,"General","2","Elgin East","Ontario","Elgin East, Ontario",2,2,1,3148
1872-07-20,"General","2","Elgin West","Ontario","Elgin West, Ontario",2,2,1,2138
1872-07-20,"General","2","Essex","Ontario","Essex, Ontario",2,2,1,3237
1872-07-20,"General","2","Frontenac","Ontario","Frontenac, Ontario",1,1,1,0
1872-07-20,"General","2","Gaspé","Quebec","Gaspé, Quebec",1,1,1,0
1872-07-20,"General","2","Glengarry","Ontario","Glengarry, Ontario",2,2,1,1482
1872-07-20,"General","2","Gloucester","New Brunswick","Gloucester, New Brunswick",3,2,1,1777
1872-07-20,"General","2","Grenville South","Ontario","Grenville South, Ontario",2,2,1,1817
1872-07-20,"General","2","Grey East","Ontario","Grey East, Ontario",2,2,1,2259
1872-07-20,"General","2","Grey North","Ontario","Grey North, Ontario",2,2,1,2107
1872-07-20,"General","2","Grey South","Ontario","Grey South, Ontario",2,2,1,2127
1872-07-20,"General","2","Guysborough","Nova Scotia","Guysborough, Nova Scotia",1,1,1,0
1872-07-20,"General","2","Haldimand","Ontario","Haldimand, Ontario",1,1,1,0
1872-07-20,"General","2","Halifax","Nova Scotia","Halifax, Nova Scotia",4,4,2,9896
1872-07-20,"General","2","Halton","Ontario","Halton, Ontario",2,2,1,2692
1872-07-20,"General","2","Hamilton","Ontario","Hamilton, Ontario",4,3,2,5535
1872-07-20,"General","2","Hants","Nova Scotia","Hants, Nova Scotia",1,1,1,0
1872-07-20,"General","2","Hastings East","Ontario","Hastings East, Ontario",3,2,1,1821
1872-07-20,"General","2","Hastings North","Ontario","Hastings North, Ontario",2,2,1,1325
1872-07-20,"General","2","Hastings West","Ontario","Hastings West, Ontario",2,2,1,1605
1872-07-20,"General","2","Hochelaga","Quebec","Hochelaga, Quebec",2,2,1,3082
1872-07-20,"General","2","Huntingdon","Quebec","Huntingdon, Quebec",1,1,1,0
1872-07-20,"General","2","Huron Centre","Ontario","Huron Centre, Ontario",2,2,1,2222
1872-07-20,"General","2","Huron North","Ontario","Huron North, Ontario",2,2,1,2909
1872-07-20,"General","2","Huron South","Ontario","Huron South, Ontario",2,2,1,2701
1872-07-20,"General","2","Iberville","Quebec","Iberville, Quebec",1,1,1,0
1872-07-20,"General","2","Inverness","Nova Scotia","Inverness, Nova Scotia",2,2,1,2525
1872-07-20,"General","2","Jacques Cartier","Quebec","Jacques Cartier, Quebec",2,2,1,1320
1872-07-20,"General","2","Joliette","Quebec","Joliette, Quebec",1,1,1,0
1872-07-20,"General","2","Kamouraska","Quebec","Kamouraska, Quebec",2,2,1,2188
1872-07-20,"General","2","Kent","Ontario","Kent, Ontario",2,2,1,3604
1872-07-20,"General","2","Kent","New Brunswick","Kent, New Brunswick",2,1,1,2637
1872-07-20,"General","2","King's","New Brunswick","King's, New Brunswick",3,2,1,3208
1872-07-20,"General","2","Kings","Nova Scotia","Kings, Nova Scotia",2,2,1,2030
1872-07-20,"General","2","Kingston","Ontario","Kingston, Ontario",2,2,1,1339
1872-07-20,"General","2","L'Assomption","Quebec","L'Assomption, Quebec",2,2,1,1662
1872-07-20,"General","2","L'Islet","Quebec","L'Islet, Quebec",2,2,1,1245
1872-07-20,"General","2","Lambton","Ontario","Lambton, Ontario",2,2,1,3745
1872-07-20,"General","2","Lanark North","Ontario","Lanark North, Ontario",3,3,1,1253
1872-07-20,"General","2","Lanark South","Ontario","Lanark South, Ontario",2,2,1,2038
1872-07-20,"General","2","Laprairie","Quebec","Laprairie, Quebec",2,2,1,1195
1872-07-20,"General","2","Laval","Quebec","Laval, Quebec",1,1,1,0
1872-07-20,"General","2","Leeds North and Grenville North","Ontario","Leeds North and Grenville North, Ontario",2,2,1,1734
1872-07-20,"General","2","Leeds South","Ontario","Leeds South, Ontario",2,2,1,2528
1872-07-20,"General","2","Lennox","Ontario","Lennox, Ontario",2,2,1,1737
1872-07-20,"General","2","Lévis","Quebec","Lévis, Quebec",2,2,1,3039
1872-07-20,"General","2","Lincoln","Ontario","Lincoln, Ontario",2,2,1,1673
1872-07-20,"General","2","Lisgar","Manitoba","Lisgar, Manitoba",2,2,1,401
1872-07-20,"General","2","London","Ontario","London, Ontario",2,2,1,1898
